0.6132,1.0000,0.8396,0.8235,0.9717,0.6332,1.0000,0.4567,0.9670,0.3045,0.6321,0.4256,0.5896,0.2457,0.5566,0.1384,0.5189,0.0311,0.4623,0.4498,0.3774,0.2526,0.3255,0.1176,0.2830,0.0000,0.3160,0.5225,0.2170,0.3356,0.1651,0.2111,0.1274,0.0900,0.1840,0.6263,0.0896,0.4775,0.0377,0.3772,0.0000,0.2664
0.5945,1.0000,0.8249,0.8412,0.9631,0.6486,1.0000,0.4730,0.9816,0.3243,0.6175,0.4392,0.5899,0.2500,0.5622,0.1385,0.5346,0.0338,0.4470,0.4595,0.3733,0.2534,0.3226,0.1216,0.2765,0.0000,0.3041,0.5304,0.2074,0.3378,0.1613,0.2128,0.1244,0.0912,0.1797,0.6318,0.0829,0.4831,0.0369,0.3818,0.0000,0.2736
0.5963,1.0000,0.8257,0.8428,0.9633,0.6522,1.0000,0.4783,0.9817,0.3311,0.6193,0.4381,0.5917,0.2508,0.5642,0.1405,0.5367,0.0368,0.4495,0.4582,0.3716,0.2542,0.3257,0.1204,0.2844,0.0000,0.3073,0.5284,0.2110,0.3378,0.1651,0.2140,0.1284,0.0970,0.1835,0.6288,0.0872,0.4816,0.0367,0.3779,0.0000,0.2709
0.5872,1.0000,0.8211,0.8395,0.9587,0.6488,1.0000,0.4749,0.9817,0.3278,0.6147,0.4348,0.5872,0.2475,0.5596,0.1371,0.5321,0.0301,0.4450,0.4582,0.3670,0.2542,0.3211,0.1204,0.2798,0.0000,0.3028,0.5251,0.2064,0.3378,0.1606,0.2107,0.1239,0.0936,0.1789,0.6254,0.0826,0.4783,0.0321,0.3779,0.0000,0.2676
0.5872,1.0000,0.8165,0.8395,0.9587,0.6488,1.0000,0.4749,0.9817,0.3244,0.6193,0.4348,0.5872,0.2475,0.5642,0.1338,0.5367,0.0268,0.4450,0.4548,0.3670,0.2508,0.3211,0.1171,0.2798,0.0000,0.3028,0.5217,0.2064,0.3344,0.1606,0.2107,0.1284,0.0903,0.1743,0.6221,0.0826,0.4783,0.0367,0.3746,0.0000,0.2676
0.5872,1.0000,0.8165,0.8395,0.9587,0.6522,1.0000,0.4783,0.9817,0.3278,0.6147,0.4348,0.5872,0.2475,0.5596,0.1371,0.5367,0.0301,0.4404,0.4548,0.3670,0.2542,0.3165,0.1204,0.2798,0.0000,0.2982,0.5251,0.2064,0.3378,0.1606,0.2107,0.1239,0.0903,0.1743,0.6254,0.0780,0.4783,0.0321,0.3779,0.0000,0.2676
0.5853,1.0000,0.8203,0.8395,0.9585,0.6488,1.0000,0.4749,0.9862,0.3244,0.6129,0.4348,0.5853,0.2441,0.5576,0.1338,0.5346,0.0268,0.4424,0.4548,0.3641,0.2508,0.3134,0.1171,0.2765,0.0000,0.2949,0.5217,0.2028,0.3344,0.1567,0.2074,0.1244,0.0870,0.1705,0.6221,0.0783,0.4749,0.0276,0.3746,0.0000,0.2676
0.5826,1.0000,0.8165,0.8395,0.9541,0.6488,1.0000,0.4749,0.9817,0.3278,0.6101,0.4348,0.5826,0.2475,0.5596,0.1338,0.5321,0.0268,0.4404,0.4548,0.3624,0.2542,0.3119,0.1204,0.2752,0.0000,0.2982,0.5251,0.2018,0.3344,0.1560,0.2107,0.1239,0.0903,0.1697,0.6254,0.0780,0.4783,0.0321,0.3779,0.0000,0.2676
0.5853,1.0000,0.8203,0.8361,0.9585,0.6488,1.0000,0.4749,0.9816,0.3244,0.6129,0.4348,0.5806,0.2441,0.5576,0.1338,0.5300,0.0268,0.4378,0.4548,0.3594,0.2508,0.3088,0.1171,0.2719,0.0000,0.2949,0.5217,0.1982,0.3344,0.1521,0.2107,0.1198,0.0903,0.1705,0.6221,0.0737,0.4783,0.0276,0.3779,0.0000,0.2676
0.5872,1.0000,0.8165,0.8400,0.9541,0.6500,1.0000,0.4767,0.9817,0.3267,0.6101,0.4333,0.5826,0.2467,0.5550,0.1367,0.5321,0.0300,0.4404,0.4567,0.3578,0.2533,0.3119,0.1200,0.2706,0.0000,0.2982,0.5233,0.1972,0.3367,0.1560,0.2133,0.1193,0.0933,0.1743,0.6267,0.0780,0.4800,0.0321,0.3800,0.0000,0.2700
